,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Length,Producer(s)_1,Producer(s)_2,Producer(s)_3,Producer(s)_4,Producer(s)_5,Producer(s)_6,Producer(s)_7,Producer(s)_8,Released,Songwriter(s)_1,Songwriter(s)_10,Songwriter(s)_11,Songwriter(s)_12,Songwriter(s)_13,Songwriter(s)_14,Songwriter(s)_15,Songwriter(s)_16,Songwriter(s)_17,Songwriter(s)_18,Songwriter(s)_19,Songwriter(s)_2,Songwriter(s)_20,Songwriter(s)_21,Songwriter(s)_22,Songwriter(s)_23,Songwriter(s)_24,Songwriter(s)_3,Songwriter(s)_4,Songwriter(s)_5,Songwriter(s)_6,Songwriter(s)_7,Songwriter(s)_8,Songwriter(s)_9,artist,index,link,rank,title,year
1796,Instrumental rock,Hard rock,Progressive rock,Funk rock,,,,"4:44 (Album Version)
3:28 (Single Version)",Rick Derringer,,,,,,,,"February 21, 1973",Edgar Winter,,,,,,,,,,,,,,,,,,,,,,,,The Edgar Winter Group,15,https://en.wikipedia.org/wiki/Frankenstein_(instrumental),16,"""Frankenstein""",1973
1797,Soul,Soft rock,R&b,,,,,3:54,Mentor Williams,,,,,,,,February 1973,Mentor Williams,,,,,,,,,,,,,,,,,,,,,,,,Dobie Gray,16,https://en.wikipedia.org/wiki/Drift_Away,17,"""Drift Away""",1973
1798,Bubblegum pop,Glam rock,Power pop,,,,,3:13,Phil Wainman,,,,,,,,"19 May 1972 (UK)
Sep 1972 (US)","Nicky Chinn, Mike Chapman",,,,,,,,,,,,,,,,,,,,,,,,Sweet,17,https://en.wikipedia.org/wiki/Little_Willy_(song),18,"""Little Willy""",1973
1799,Soul,Pop,,,,,,2:58,Stevie Wonder,,,,,,,,March 1973,Stevie Wonder,,,,,,,,,,,,,,,,,,,,,,,,Stevie Wonder,18,https://en.wikipedia.org/wiki/You_Are_the_Sunshine_of_My_Life,19,"""You Are the Sunshine of My Life""",1973
1800,Pop rock,,,,,,,2:46,Snuff Garrett,,,,,,,,"July 23, 1973","Al Capps, Mary Dean",,,,,,,,,,,,,,,,,,,,,,,,Cher,19,https://en.wikipedia.org/wiki/Half-Breed_(song),20,"""Half-Breed""",1973
1801,R&b,,,,,,,2:48,Bert Berns,,,,,,,,,Rudolph Isley,,,,,,,,,,,Ronald Isley,,,,,,"O'Kelly Isley, Jr.",,,,,,,The Isley Brothers,20,https://en.wikipedia.org/wiki/That_Lady_(song),21,"""That Lady""",1973
1802,Soul,,,,,,,"


4:20 (album version)
3:41 (single edit)


",Sylvia Robinson,Michael Burton,,,,,,,March 1973,Sylvia Robinson,,,,,,,,,,,Michael Burton,,,,,,,,,,,,,Sylvia,21,https://en.wikipedia.org/wiki/Pillow_Talk_(Sylvia_song),22,"""Pillow Talk""",1973
1803,Hard rock,,,,,,,"3:26
3:31 (2002 remix)",Todd Rundgren,,,,,,,,"July 2, 1973",Don Brewer,,,,,,,,,,,,,,,,,,,,,,,,Grand Funk Railroad,22,https://en.wikipedia.org/wiki/We%27re_an_American_Band_(song),23,"""We're an American Band""",1973
1804,,,,,,,,2:50,Allen Toussaint,,,,,,,,April 1973,Mac Rebennack,,,,,,,,,,,,,,,,,,,,,,,,Dr. John,23,"https://en.wikipedia.org/wiki/Right_Place,_Wrong_Time_(Dr._John_song)",24,"""Right Place Wrong Time""",1973
1805,Rock,Soft rock,Soul,,,,,4:10,Eirik Wangberg,,,,,,,,February 1973,"Doug Edwards, David Richardson",,,,,,,,,,,,,,,,,,,,,,,,Skylark,24,https://en.wikipedia.org/wiki/Wildflower_(Skylark_song),25,"""Wildflower""",1973
1806,Funk,,,,,,,"4:26 (Album version)
4:07 (7"" version)",Stevie Wonder,,,,,,,,"October 24, 1972",Stevie Wonder,,,,,,,,,,,,,,,,,,,,,,,,Stevie Wonder,25,https://en.wikipedia.org/wiki/Superstition_(song),26,"""Superstition""",1973
1807,Pop rock,,,,,,,3:32,Paul Simon,Phil Ramone,The Muscle Shoals Sound Rhythm Section,,,,,,"July 17, 1973 (1973-07-17)",Paul Simon,,,,,,,,,,,,,,,,,,,,,,,,Paul Simon,26,https://en.wikipedia.org/wiki/Loves_Me_Like_a_Rock,27,"""Loves Me Like a Rock""",1973
1808,Pop,,,,,,,2:14,,,,,,,,,May 1973,Joel Hirschhorn,,,,,,,,,,,Al Kasha[1],,,,,,,,,,,,,Maureen McGovern,27,https://en.wikipedia.org/wiki/The_Morning_After_(Maureen_McGovern_song),28,"""The Morning After""",1973
1809,Folk,Folk rock,Country,Country folk,Country rock,Country pop,,4:39,Milt Okun,,,,,,,,"October 30, 1972",John Denver (lyrics)/John Denver and Mike Taylor (music),,,,,,,,,,,,,,,,,,,,,,,,John Denver,28,https://en.wikipedia.org/wiki/Rocky_Mountain_High,29,"""Rocky Mountain High""",1973
1810,Folk rock,Country rock,Soft rock,,,,,3:23,,,,,,,,,27 April 1973,Gerry Rafferty,,,,,,,,,,,Joe Egan,,,,,,,,,,,,,Stealers Wheel,29,https://en.wikipedia.org/wiki/Stuck_in_the_Middle_with_You,30,"""Stuck in the Middle with You""",1973
1811,Pop rock,,,,,,,3:25,Richard Podolor,,,,,,,,"May 11, 1973",Daniel Moore,,,,,,,,,,,,,,,,,,,,,,,,Three Dog Night,30,https://en.wikipedia.org/wiki/Shambala_(song),31,"""Shambala""",1973
1812,R&b,Philly soul,Disco,,,,,6:15 (extended version); 2:50 (single version),"Kenny Gamble, Leon Huff",,,,,,,,December 1972,"Kenny Gamble, Leon Huff",,,,,,,,,,,,,,,,,,,,,,,,The O'Jays,31,https://en.wikipedia.org/wiki/Love_Train,32,"""Love Train""",1973
1813,Disco,R&b,,,,,,"3:58 (single edit)
7:11 (album version)",Barry White,,,,,,,,April 1973,Barry White,,,,,,,,,,,,,,,,,,,,,,,,Barry White,32,https://en.wikipedia.org/wiki/I%27m_Gonna_Love_You_Just_a_Little_More_Baby,33,"""I'm Gonna Love You Just a Little More Baby""",1973
1814,Pop,,,,,,,2:51,Hank Medress,Dave Appell,,,,,,,July 1973,Irwin Levine,,,,,,,,,,,L. Russell Brown,,,,,,(Both lyrics and melody were written by the two writers.),,,,,,,Tony Orlando and Dawn,33,"https://en.wikipedia.org/wiki/Say,_Has_Anybody_Seen_My_Sweet_Gypsy_Rose",34,"""Say, Has Anybody Seen My Sweet Gypsy Rose""",1973
1815,Funk,,,,,,,"3:21 (single edit)
8:00 (album version)",Frank Wilson,,,,,,,,August 1973,"Leonard Caston, Jr.",,,,,,,,,,,Anita Poree,,,,,,Frank Wilson,,,,,,,Eddie Kendricks,34,https://en.wikipedia.org/wiki/Keep_on_Truckin%27_(song),35,"""Keep on Truckin'""",1973
1816,Folk rock,,,,,,,4:16,Jim Messina,,,,,,,,November 1971,Kenny Loggins,,,,,,,,,,,,,,,,,,,,,,,,Anne Murray,35,https://en.wikipedia.org/wiki/Danny%27s_Song,36,"""Danny's Song""",1973
1817,Pop rock,,,,,,,2:57,Dave Robinson,,,,,,,,"July 9, 1972 (1972-07-09)",Sherman Kelly,,,,,,,,,,,,,,,,,,,,,,,,King Harvest,36,https://en.wikipedia.org/wiki/Dancing_in_the_Moonlight,37,"""Dancing in the Moonlight""",1973
1818,Novelty,Pop,,,,,,2:57,Gary S. Paxton,,,,,,,,"August 25, 1962[1]",Bobby Pickett and Leonard L. Capizzi,,,,,,,,,,,,,,,,,,,,,,,,Bobby 'Boris' Pickett,37,https://en.wikipedia.org/wiki/Monster_Mash,38,"""Monster Mash""",1973
1819,R&b,,,,,,,4:02,Mike Vernon[1],,,,,,,,1973 (1973),Charles McCormick[1],,,,,,,,,,,,,,,,,,,,,,,,Bloodstone,38,https://en.wikipedia.org/wiki/Natural_High_(Bloodstone_song),39,"""Natural High""",1973
1820,Soft rock,,,,,,,"3:29 (single version)
4:10 (album version)",Louis Shelton,,,,,,,,May 1973,"Jim Seals, Dash Crofts",,,,,,,,,,,,,,,,,,,,,,,,Seals and Crofts,39,https://en.wikipedia.org/wiki/Diamond_Girl_(Seals_and_Crofts_song),40,"""Diamond Girl""",1973
1821,,,,,,,,3:25,Ted Templeman,,,,,,,,1973,Tom Johnston,,,,,,,,,,,,,,,,,,,,,,,,The Doobie Brothers,40,https://en.wikipedia.org/wiki/Long_Train_Runnin%27,41,"""Long Train Runnin'""",1973
1822,Folk rock,Gospel,,,,,,3:25,George Harrison,,,,,,,,7 May 1973,George Harrison,,,,,,,,,,,,,,,,,,,,,,,,George Harrison,41,https://en.wikipedia.org/wiki/Give_Me_Love_(Give_Me_Peace_on_Earth),42,"""Give Me Love (Give Me Peace on Earth)""",1973
1823,Funk,,,,,,,3:01 / 2:40 (alternate take),Sly Stone,,,,,,,,1973,Sly Stone,,,,,,,,,,,,,,,,,,,,,,,,Sly & the Family Stone,42,https://en.wikipedia.org/wiki/If_You_Want_Me_to_Stay,43,"""If You Want Me to Stay""",1973
1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jermaine Jackson,43,https://en.wikipedia.org/wiki/Jermaine_Jackson,44,"""Daddy's Home""",1973
1825,Soul,Pop,,,,,,4:24,Joe Porter,,,,,,,,"December 26, 1972",Jim Weatherly,,,,,,,,,,,,,,,,,,,,,,,,Gladys Knight & the Pips,44,https://en.wikipedia.org/wiki/Neither_One_of_Us_(Wants_to_Be_the_First_to_Say_Goodbye),45,"""Neither One of Us (Wants to Be the First to Say Goodbye)""",1973
1826,Soul,Philly soul,,,,,,2:48,Thom Bell,,,,,,,,1973,"Thom Bell, Sherman Marshall",,,,,,,,,,,,,,,,,,,,,,,,New York City,45,https://en.wikipedia.org/wiki/I%27m_Doin%27_Fine_Now,46,"""I'm Doin' Fine Now""",1973
1827,Philadelphia soul,,,,,,,4:13,Thom Bell,,,,,,,,December 1972,Mystro & Lyric,,,,,,,,,,,,,,,,,,,,,,,,The Spinners,46,https://en.wikipedia.org/wiki/Could_It_Be_I%27m_Falling_in_Love,47,"""Could It Be I'm Falling in Love""",1973
1828,Soft rock,,,,,,,3:54,Gus Dudgeon,,,,,,,,26 March 1973 (1973-03-26),"Elton John, Bernie Taupin",,,,,,,,,,,,,,,,,,,,,,,,Elton John,47,https://en.wikipedia.org/wiki/Daniel_(song),48,"""Daniel""",1973
1829,Soul,,,,,,,3:55 (single version),Tony Camillo & Gladys Knight & the Pips,,,,,,,,August 1973,Jim Weatherly,,,,,,,,,,,,,,,,,,,,,,,,Gladys Knight & the Pips,48,https://en.wikipedia.org/wiki/Midnight_Train_to_Georgia,49,"""Midnight Train to Georgia""",1973
1830,Hard rock,Heavy metal,,,,,,"5:41 (album version)
3:54 (single version)
6:15 (Roger Glover remix)",Deep Purple,,,,,,,,May 1973,Ritchie Blackmore,,,,,,,,,,,Ian Gillan,,,,,,Roger Glover,Jon Lord,Ian Paice,,,,,Deep Purple,49,https://en.wikipedia.org/wiki/Smoke_on_the_Water,50,"""Smoke on the Water""",1973
1831,Pop rock,Soft rock,Comedy,,,,,2:53,Ron Haffkine,,,,,,,,November 1972,Shel Silverstein,,,,,,,,,,,,,,,,,,,,,,,,Dr. Hook & The Medicine Show,50,https://en.wikipedia.org/wiki/The_Cover_of_the_Rolling_Stone,51,"""The Cover of the Rolling Stone""",1973
1832,Country,,,,,,,2:56,Billy Sherrill,,,,,,,,April 1973,Kenny O'Dell,,,,,,,,,,,,,,,,,,,,,,,,Charlie Rich,51,https://en.wikipedia.org/wiki/Behind_Closed_Doors_(Charlie_Rich_song),52,"""Behind Closed Doors""",1973
1833,Rock,,,,,,,2:48,"Kenny Loggins, Jim Messina",,,,,,,,November 1972,"Kenny Loggins, Jim Messina",,,,,,,,,,,,,,,,,,,,,,,,Loggins and Messina,52,https://en.wikipedia.org/wiki/Your_Mama_Don%27t_Dance,53,"""Your Mama Don't Dance""",1973
1834,Rock,,,,,,,4:15,James William Guercio,,,,,,,,June 1973,"Peter Cetera, James Pankow",,,,,,,,,,,,,,,,,,,,,,,,Chicago,53,https://en.wikipedia.org/wiki/Feelin%27_Stronger_Every_Day,54,"""Feelin' Stronger Every Day""",1973
1836,Symphonic rock,,,,,,,3:12,George Martin,,,,,,,,"


1 June 1973 (UK)
18 June 1973 (US)


",Paul McCartney,,,,,,,,,,,Linda McCartney,,,,,,,,,,,,,Paul McCartney & Wings,55,https://en.wikipedia.org/wiki/Live_and_Let_Die_(song),56,"""Live and Let Die""",1973
1837,Pop rock,,,,,,,3:33[1],Hurricane Smith[1],,,,,,,,November 1972[1],Eileen Sylvia Smith[1],,,,,,,,,,,,,,,,,,,,,,,,Hurricane Smith,56,"https://en.wikipedia.org/wiki/Oh,_Babe,_What_Would_You_Say%3F",57,"""Oh, Babe, What Would You Say?""",1973
1838,Soul,,,,,,,"4:32 (original single version)
3:58 (second single version)
5:07 (album version)",Don Davis,,,,,,,,June 1973,Don Davis,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Taylor,57,https://en.wikipedia.org/wiki/I_Believe_in_You_(You_Believe_in_Me),58,"""I Believe in You (You Believe in Me)""",1973
1839,Pop,,,,,,,2:54 + 3:18,Jack Daugherty,,,,,,,,"January 13, 1973",Joe Raposo,,,,,,,,,,,,,,,,,,,,,,,,The Carpenters,58,https://en.wikipedia.org/wiki/Sing_(The_Carpenters_song),59,"""Sing""",1973
1840,Soul,,,,,,,3:04,Dennis Lambert,,,,,,,,January 1973,Dennis Lambert,,,,,,,,,,,Brian Potter,,,,,,,,,,,,,The Four Tops,59,https://en.wikipedia.org/wiki/Ain%27t_No_Woman_(Like_the_One_I%27ve_Got),60,"""Ain't No Woman (Like the One I've Got)""",1973
1841,Bluegrass,,,,,,,2:10,Joe Boyd,,,,,,,,December 1972,"Arthur ""Guitar Boogie"" Smith, Don Reno, arranged by Eric Weissberg, Steve Mandell",,,,,,,,,,,,,,,,,,,,,,,,Eric Weissberg & Steve Mandell,60,https://en.wikipedia.org/wiki/Dueling_Banjos,61,"""Dueling Banjos""",1973
1842,Funk,,,,,,,"3:42 (Album version)
3:10 (Single version)",Stevie Wonder,,,,,,,,July 1973,Stevie Wonder,,,,,,,,,,,,,,,,,,,,,,,,Stevie Wonder,61,https://en.wikipedia.org/wiki/Higher_Ground_(Stevie_Wonder_song),62,"""Higher Ground""",1973
1843,Soul,,,,,,,4:14,Willie Mitchell,,,,,,,,June 1973,"Al Green, Teenie Hodges",,,,,,,,,,,,,,,,,,,,,,,,Al Green,62,https://en.wikipedia.org/wiki/Here_I_Am_(Come_and_Take_Me),63,"""Here I Am (Come and Take Me)""",1973
1844,Country rock,,,,,,,2:25,David Kershenbaum,,,,,,,,August 1973,B. W. Stevenson,,,,,,,,,,,Daniel Moore,,,,,,,,,,,,,B.W. Stevenson,63,https://en.wikipedia.org/wiki/My_Maria,64,"""My Maria""",1973
1845,Funk,Soul,,,,,,"3:08 (single edit)
3:53 (album version)",Curtis Mayfield,,,,,,,,October 1972,Curtis Mayfield,,,,,,,,,,,,,,,,,,,,,,,,Curtis Mayfield,64,https://en.wikipedia.org/wiki/Superfly_(song),65,"""Superfly""",1973
1846,,,,,,,,3:15,Gene Martynec,,,,,,,,December 1972,Larry Evoy,,,,,,,,,,,,,,,,,,,,,,,,Edward Bear,65,https://en.wikipedia.org/wiki/Last_Song_(Edward_Bear_song),66,"""Last Song""",1973
1847,,,,,,,,2:39,,,,,,,,,"


March 1973 (UK)[1]
June 1973 (U.S.)


",Gilbert O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,Gilbert O'Sullivan,66,https://en.wikipedia.org/wiki/Get_Down_(Gilbert_O%27Sullivan_song),67,"""Get Down""",1973
1848,Rock,,,,,,,4:37,Gary Katz,,,,,,,,March 1973,"Walter Becker, Donald Fagen",,,,,,,,,,,,,,,,,,,,,,,,Steely Dan,67,https://en.wikipedia.org/wiki/Reelin%27_In_the_Years,68,"""Reelin' in the Years""",1973
1849,,,,,,,,"6:42 (album version)
3:18 (single edit)
3:25 (re-recording: ""Hocus Pocus 2″ ""Hocus Pocus II"")",Mike Vernon,,,,,,,,"1971 (Europe)
February 1973 (US, Canada)","Thijs van Leer, Jan Akkerman",,,,,,,,,,,,,,,,,,,,,,,,Focus,68,https://en.wikipedia.org/wiki/Hocus_Pocus_(instrumental),69,"""Hocus Pocus""",1973
1850,Pop,,,,,,,3:56,"Richard Carpenter, Karen Carpenter",,,,,,,,"June 2, 1973","Richard Carpenter, John Bettis",,,,,,,,,,,,,,,,,,,,,,,,The Carpenters,69,https://en.wikipedia.org/wiki/Yesterday_Once_More_(song),70,"""Yesterday Once More""",1973
1851,,,,,,,,,,,,,,,,,,"Don Raye, Hughie Prince",,,,,,,,,,,,,,,,,,,,,,,,Bette Midler,70,https://en.wikipedia.org/wiki/Boogie_Woogie_Bugle_Boy,71,"""Boogie Woogie Bugle Boy""",1973
1852,Pop,,,,,,,3:03,Gordon Mills,,,,,,,,October 1972 (1972-10),Gilbert O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,Gilbert O'Sullivan,71,https://en.wikipedia.org/wiki/Clair_(song),72,"""Clair""",1973
1853,Soft rock,Funk rock,,,,,,"


4:14 (7"" version)
5:56 (Album version)


",Gary Katz,,,,,,,,November 1972,Walter Becker,,,,,,,,,,,Donald Fagen,,,,,,,,,,,,,Steely Dan,72,https://en.wikipedia.org/wiki/Do_It_Again_(Steely_Dan_song),73,"""Do It Again""",1973
1854,Pop rock,,,,,,,3:32,Paul Simon,Phil Ramone,,,,,,,May 1973,Paul Simon,,,,,,,,,,,,,,,,,,,,,,,,Paul Simon,73,https://en.wikipedia.org/wiki/Kodachrome_(song),74,"""Kodachrome""",1973
1855,R&b,Jazz,,,,,,"3:30 (single version)
4:50 (album version)",Timmy Thomas,,,,,,,,1972,Timmy Thomas,,,,,,,,,,,,,,,,,,,,,,,,Timmy Thomas,74,https://en.wikipedia.org/wiki/Why_Can%27t_We_Live_Together,75,"""Why Can't We Live Together""",1973
1856,Rock and roll,,,,,,,2:30,,,,,,,,,1958 (1958),Bobby Freeman,,,,,,,,,,,,,,,,,,,,,,,,Bette Midler,75,https://en.wikipedia.org/wiki/Do_You_Wanna_Dance%3F,76,"""Do You Wanna Dance?""",1973
1857,R&b,,,,,,,3:37,Tower of Power[3],,,,,,,,April 1973 (1973),Emilio Castillo,,,,,,,,,,,Stephen Kupka[2],,,,,,,,,,,,,Tower of Power,76,https://en.wikipedia.org/wiki/So_Very_Hard_to_Go,77,"""So Very Hard to Go""",1973
1858,,,,,,,,,,,,,,,,,August 1957,"J. Vincent, Huey Smith",,,,,,,,,,,,,,,,,,,,,,,,Johnny Rivers,77,https://en.wikipedia.org/wiki/Rockin%27_Pneumonia_and_the_Boogie_Woogie_Flu,78,"""Rockin' Pneumonia and the Boogie Woogie Flu""",1973
1859,Country rock,Southern rock,,,,,,4:48,"Johnny Sandlin, The Allman Brothers",,,,,,,,August 1973,Dickey Betts,,,,,,,,,,,,,,,,,,,,,,,,The Allman Brothers Band,78,https://en.wikipedia.org/wiki/Ramblin%27_Man_(The_Allman_Brothers_Band_song),79,"""Ramblin' Man""",1973
1860,Soul,,,,,,,"4:22 (single version)
13:49 (album version)",Norman Whitfield,,,,,,,,February 1973,Norman Whitfield,,,,,,,,,,,,,,,,,,,,,,,,The Temptations,79,https://en.wikipedia.org/wiki/Masterpiece_(The_Temptations_song),80,"""Masterpiece""",1973
1861,Easy listening,,,,,,,2:50,Tom Catalano,,,,,,,,February 1973,Kenny Rankin,,,,,,,,,,,,,,,,,,,,,,,,Helen Reddy,80,https://en.wikipedia.org/wiki/Peaceful_(song),81,"""Peaceful""",1973
1862,R&b,Philly soul,,,,,,"3:17 (censored version)
3:31 (uncensored version)",Thom Bell,,,,,,,,April 1973,Joseph B. Jefferson,,,,,,,,,,,,,,,,,,,,,,,,The Spinners,81,https://en.wikipedia.org/wiki/One_of_a_Kind_(Love_Affair),82,"""One of a Kind (Love Affair)""",1973
1863,Country,,,,,,,2:46,Stan Silver,,,,,,,,July 1972,Donna Fargo,,,,,,,,,,,,,,,,,,,,,,,,Donna Fargo,82,https://en.wikipedia.org/wiki/Funny_Face_(Donna_Fargo_song),83,"""Funny Face""",1973
1864,Funk,,,,,,,2:35,Ohio Players,,,,,,,,1973,Ohio Players,,,,,,,,,,,,,,,,,,,,,,,,Ohio Players,83,https://en.wikipedia.org/wiki/Funky_Worm,84,"""Funky Worm""",1973
1865,Soft rock,,,,,,,4:33,Jimmy Miller,,,,,,,,20 August 1973 (1973-08-20),Jagger/Richards,,,,,,,,,,,,,,,,,,,,,,,,The Rolling Stones,84,https://en.wikipedia.org/wiki/Angie_(song),85,"""Angie""",1973
1866,Country,Pop,,,,,,2:52,,,,,,,,,"July 19, 1952","Hank Williams, Moon Mullican",,,,,,,,,,,,,,,,,,,,,,,,Blue Ridge Rangers,85,https://en.wikipedia.org/wiki/Jambalaya_(On_the_Bayou),86,"""Jambalaya (On the Bayou)""",1973
1867,Soft rock,,,,,,,,,,,,,,,,December 1972 (1972),Roland Kent LaVoie (Lobo),,,,,,,,,,,,,,,,,,,,,,,,Lobo,86,https://en.wikipedia.org/wiki/Don%27t_Expect_Me_to_Be_Your_Friend,87,"""Don't Expect Me to Be Your Friend""",1973
1868,Soul,Philly soul,,,,,,4:00,Thom Bell,,,,,,,,February 1973,"Thom Bell, Linda Creed, Kenneth Gamble",,,,,,,,,,,,,,,,,,,,,,,,The Stylistics,87,https://en.wikipedia.org/wiki/Break_Up_to_Make_Up,88,"""Break Up to Make Up""",1973
1869,Country,,,,,,,2:48,"Mike Curb, Don Costa",,,,,,,,November 1972,Jud Strunk,,,,,,,,,,,,,,,,,,,,,,,,Jud Strunk,88,https://en.wikipedia.org/wiki/Daisy_a_Day,89,"""Daisy a Day""",1973
1870,Jazz-funk,,,,,,,"9:00 (Album version)
5:06 (Single version)",Creed Taylor,,,,,,,,1973 [1][2],Richard Strauss,,,,,,,,,,,,,,,,,,,,,,,,Deodato,89,https://en.wikipedia.org/wiki/Also_Sprach_Zarathustra_(2001),90,"""Also Sprach Zarathustra (2001)""",1973
1871,Reggae,,,,,,,2:58,,,,,,,,,"March 31, 1972",Bob Marley,,,,,,,,,,,,,,,,,,,,,,,,Johnny Nash,90,https://en.wikipedia.org/wiki/Stir_It_Up,91,"""Stir It Up""",1973
1872,Progressive rock,Blues rock,,,,,,"3:59 (single edit)
6:22 (album version)",Pink Floyd,,,,,,,,7 May 1973,Roger Waters,,,,,,,,,,,,,,,,,,,,,,,,Pink Floyd,91,https://en.wikipedia.org/wiki/Money_(Pink_Floyd_song),92,"""Money""",1973
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,War,92,https://en.wikipedia.org/wiki/War_(band),93,"""Gypsy Man""",1973
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,War,93,https://en.wikipedia.org/wiki/War_(band),94,"""The World Is a Ghetto""",1973
1875,Funk,Soul,Disco,,,,,"6:02
3:54 (7"" version)",David Rubinson,,,,,,,,"February, 1973",Allen Toussaint,,,,,,,,,,,,,,,,,,,,,,,,The Pointer Sisters,94,https://en.wikipedia.org/wiki/Yes_We_Can_Can,95,"""Yes We Can Can""",1973
1876,Rock,,,,,,,"3:08 (Album/Single version)
3:24 (Full version)",Rick Derringer,,,,,,,,August 1973,Dan Hartman,,,,,,,,,,,,,,,,,,,,,,,,The Edgar Winter Group,95,https://en.wikipedia.org/wiki/Free_Ride_(song),96,"""Free Ride""",1973
1877,Psychedelic,Folk rock,,,,,,"5:15 (album version)
4:33 (UK single edit)
3:26 (U.S. single edit)",Gus Dudgeon,,,,,,,,11 July 1969,David Bowie,,,,,,,,,,,,,,,,,,,,,,,,David Bowie,96,https://en.wikipedia.org/wiki/Space_Oddity,97,"""Space Oddity""",1973
1878,Soft rock,,,,,,,"3:49
3:20 (7"" version)","Albert Hammond, Don Altfeld",,,,,,,,"October 21, 1972 (United States)","Albert Hammond, Mike Hazlewood",,,,,,,,,,,,,,,,,,,,,,,,Albert Hammond,97,https://en.wikipedia.org/wiki/It_Never_Rains_in_Southern_California,98,"""It Never Rains in Southern California""",1973
1879,Pop,,,,,,,2:25,,,,,,,,,1957,"Jerry Livingston, Paul Francis Webster",,,,,,,,,,,,,,,,,,,,,,,,Donny Osmond,98,https://en.wikipedia.org/wiki/The_Twelfth_of_Never,99,"""The Twelfth of Never""",1973
1880,,,,,,,,,,,,,,,,,Early 1972,,,,,,,,,,,,,,,,,,,,,,,,,The Temptations,99,https://en.wikipedia.org/wiki/Papa_Was_a_Rollin%27_Stone,100,"""Papa Was a Rollin' Stone""",1973
1881,,,,,,,,3:29,Marty Paich,,,,,,,,"September 27, 1973 (1973-09-27)",Alan Bergman,,,,,,,,,,,Marilyn Bergman,,,,,,Marvin Hamlisch,,,,,,,Barbra Streisand,0,https://en.wikipedia.org/wiki/The_Way_We_Were_(song),1,"""The Way We Were""",1974
1882,Chanson,,,,,,,3:06,,,,,,,,,1961,Jacques Brel,,,,,,,,,,,,,,,,,,,,,,,,Terry Jacks,1,https://en.wikipedia.org/wiki/Seasons_in_the_Sun,2,"""Seasons in the Sun""",1974
1883,Philly soul,Disco,,,,,,4:08,Barry White,,,,,,,,November 1973,Barry White,,,,,,,,,,,,,,,,,,,,,,,,Love Unlimited Orchestra,2,https://en.wikipedia.org/wiki/Love%27s_Theme,3,"""Love's Theme""",1974
1884,Pop rock,Swamp pop,,,,,,"3:27
5:02 (Album Version)",Lolly Vegas,Pat Vegas,,,,,,,January 1974 (1974-01),Lolly Vegas,,,,,,,,,,,,,,,,,,,,,,,,Redbone,3,https://en.wikipedia.org/wiki/Come_and_Get_Your_Love,4,"""Come and Get Your Love""",1974
1885,Funk,,,,,,,"3:30 (album version)
2:43 (single version)
4:25 (alternate version)",Hal Davis,,,,,,,,"February 19, 1974[1]",Hal Davis,,,,,,,,,,,Don Fletcher,,,,,,Dean Parks,,,,,,,The Jackson 5,4,https://en.wikipedia.org/wiki/Dancing_Machine,5,"""Dancing Machine""",1974
1886,Pop,Rhythm and blues,,,,,,2:27,Gerry Goffin,,,,,,,,June 1962,"Gerry Goffin, Carole King",,,,,,,,,,,,,,,,,,,,,,,,Grand Funk Railroad,5,https://en.wikipedia.org/wiki/The_Loco-Motion,6,"""The Loco-Motion""",1974
1887,Philly soul,Disco,,,,,,"3:43 (album cut)
3:29 (single version)
5:48 (12"" version)",Kenneth Gamble and Leon Huff,,,,,,,,"February 6, 1974 (U.S.)
March 29, 1974 (UK)",Kenneth Gamble and Leon Huff,,,,,,,,,,,,,,,,,,,,,,,,MFSB,6,https://en.wikipedia.org/wiki/TSOP_(The_Sound_of_Philadelphia),7,"""TSOP (The Sound of Philadelphia)""",1974
1888,Country,Novelty,Comedy,,,,,3:18,Ray Stevens,,,,,,,,"March 27, 1974",Ray Stevens,,,,,,,,,,,,,,,,,,,,,,,,Ray Stevens,7,https://en.wikipedia.org/wiki/The_Streak,8,"""The Streak""",1974
1889,Glam rock,,,,,,,5:23,Gus Dudgeon,,,,,,,,4 February 1974,Elton John,,,,,,,,,,,Bernie Taupin,,,,,,,,,,,,,Elton John,8,https://en.wikipedia.org/wiki/Bennie_and_the_Jets,9,"""Bennie and the Jets""",1974
1890,Pop,,,,,,,2:57,Rick Hall,,,,,,,,March 1974,"Mac Davis, Mark James",,,,,,,,,,,,,,,,,,,,,,,,Mac Davis,9,https://en.wikipedia.org/wiki/One_Hell_of_a_Woman,10,"""One Hell of a Woman""",1974
